cmb-cat,cat_move_in_no,new_no,move_out_no,new_total
T-PA-OE-C,0,0,0,0
T-PA-OE-B,0,0,0,0
P-T-TECH-S-OE,0,0,0,0
TECH-S-B-C,0,0,0,3
T-TECH-OE-B-C,0,0,0,0
P-I-T-PA-TECH-OE-B-C,0,0,0,0
P-T-TECH-S-C,0,0,0,0
I-T-PA-TECH-OE-B-C,0,0,0,0
I-TECH-S-OE-B-C,0,0,0,2
P-T-TECH-S-B,0,0,0,0
I-PA-TECH-OE-B,0,0,0,0
I-PA-TECH-OE-C,0,0,0,0
P-I-S-B,0,0,0,0
P-I-S-C,0,0,0,1
P-T-S-OE,0,0,0,2
TECH-OE,0,0,0,6
P-S-OE-B,0,0,0,0
P-S-OE-C,0,0,0,0
PA-TECH,0,0,0,5
P-C,0,0,0,1
P-T-PA-S-B-C,0,0,0,1
I-TECH-OE-B-C,0,0,0,0
I-T-PA-OE-B-C,0,0,0,0
P-I-OE-B,0,0,0,0
P-I-OE-C,0,0,0,0
P-I-T-PA-S-OE-B-C,0,0,0,2
T-PA-TECH-OE-B-C,0,0,0,0
I-T-B-C,0,0,0,0
P-T-S-OE-C,0,0,0,0
I-T-PA-S-B-C,0,0,0,1
P-I-T-PA-TECH-OE,0,0,0,0
T-TECH-S-C,0,0,0,0
P-T-PA-TECH-S-OE-B,0,0,0,0
P-T-PA-TECH-S-OE-C,0,0,0,1
P-I-T-TECH,0,0,0,12
P-T-PA-S-OE-B,0,0,0,0
P-T-PA-S-OE-C,0,0,0,1
P-TECH-S-OE,0,0,0,0
P-I-TECH-OE,0,0,0,1
T-S,0,0,0,69
PA-TECH-B-C,0,0,0,0
T-S-OE-B-C,0,0,0,1
P-I-T-S,0,0,0,10
P-T-OE-C,1,0,0,2
P-T-OE-B,0,0,0,0
T-B,0,0,0,0
T-C,0,0,0,5
P-I-T-C,0,0,0,2
P-I-T-B,0,0,0,0
P-I-PA-TECH,0,0,0,0
I-PA-TECH,0,0,0,12
I-PA-S-B,0,0,0,4
I-PA-S-C,0,0,0,19
P-PA,0,0,0,7
P-T-TECH-S-B-C,0,0,0,0
TECH-B-C,0,0,0,2
P-I-T-TECH-B-C,0,0,0,0
I-T-S-OE-B-C,0,0,0,2
P-I-S-B-C,0,0,0,0
TECH-C,0,0,0,0
TECH-B,0,0,0,0
OE-C,0,0,0,1
OE-B,0,0,0,0
P-I-T-S-OE-B-C,0,0,0,1
P-I-PA-S-OE-C,0,0,0,0
P-I-PA-S-OE-B,0,0,0,0
I-OE,0,0,0,31
P-T-S-OE-B,0,0,0,0
OE-B-C,0,0,0,0
P-I-T-PA-TECH-S-OE-B,0,0,0,1
P-I-T-PA-TECH-S-OE-C,0,0,0,5
I-T-PA-TECH-S-OE-C,0,0,0,4
I-T-PA-TECH-S-OE-B,0,0,0,0
P-TECH-B-C,0,0,0,1
T-TECH-OE,0,0,0,5
T,0,2,0,1535
I-T-PA-TECH-S-OE,0,0,0,9
P-T-PA-OE-B,0,0,0,0
P-T-PA-OE-C,0,0,0,0
T-PA-TECH-S-OE,0,0,0,5
P-T-TECH-B-C,0,0,0,0
I-T-PA-C,0,0,0,1
I-T-PA-B,0,0,0,0
OE,0,1,0,122
T-S-OE-C,0,0,0,1
P-PA-S-OE,0,0,0,1
I-T-PA-S,1,0,0,44
T-PA-C,0,0,0,0
T-PA-B,0,0,0,2
T-PA-S,0,0,0,31
I-T-S-B,0,0,0,2
I-T-S-C,0,0,0,2
I-PA-B-C,0,0,0,0
PA-S-OE-B-C,0,0,0,5
T-PA-TECH-S-OE-B-C,0,0,0,0
P-OE-B,0,0,0,0
P-OE-C,0,0,0,0
I-B-C,0,0,0,1
P-PA-TECH-S,0,0,0,0
P-I-PA-S-C,0,0,0,1
P-I-PA-S-B,0,0,0,0
I-OE-B-C,0,0,0,0
P-I-T-PA-TECH-B,0,0,0,0
P-I-T-PA-TECH-C,0,0,0,0
TECH-S-OE-B-C,0,0,0,1
P-PA-TECH-C,0,0,0,0
P-PA-TECH-B,0,0,0,0
TECH-OE-C,0,0,0,0
